mpg,cylinders,displacement,horsepower,price,acceleration,year,origin,name,,company
27,4,97,60,1834,19,71,2,volkswagen model 111,,Car Brands – T
26,4,91,70,1955,20.5,71,1,plymouth cricket,,Car Brands – L
24,4,113,95,2278,15.5,72,3,toyota corona hardtop,,Car Brands – F
25,4,97.5,80,2126,17,72,1,dodge colt hardtop,,Car Brands – P
23,4,97,54,2254,23.5,72,2,volkswagen type 3,,Car Brands – M
20,4,140,90,2408,19.5,72,1,chevrolet vega,,Car Brands – A
21,4,122,86,2226,16.5,72,1,ford pinto runabout,,Jaguar
13,8,350,165,4274,12,72,1,chevrolet impala,,Pagani
14,8,400,175,4385,12,72,1,pontiac catalina,,Car Brands – N
15,8,318,150,4135,13.5,72,1,plymouth fury iii,,Ferrari
14,8,351,153,4129,13,72,1,ford galaxie 500,,Bugatti
17,8,304,150,3672,11.5,72,1,amc ambassador sst,,Car Brands – U
11,8,429,208,4633,11,72,1,mercury marquis,,Car Brands – R
13,8,350,155,4502,13.5,72,1,buick lesabre custom,,Car Brands – G
12,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale,,Car Brands – H
13,8,400,190,4422,12.5,72,1,chrysler newport royal,,Car Brands – D
19,3,70,97,2330,13.5,72,3,mazda rx2 coupe,,Lamborghini
15,8,304,150,3892,12.5,72,1,amc matador (sw),,McLaren
13,8,307,130,4098,14,72,1,chevrolet chevelle concours (sw),,Ferrari
13,8,302,140,4294,16,72,1,ford gran torino (sw),,BMW
14,8,318,150,4077,14,72,1,plymouth satellite custom (sw),,Car Brands – L
18,4,121,112,2933,14.5,72,2,volvo 145e (sw),,McLaren
22,4,121,76,2511,18,72,2,volkswagen 411 (sw),,Car Brands – G
21,4,120,87,2979,19.5,72,2,peugeot 504 (sw),,Ferrari
26,4,96,69,2189,18,72,2,renault 12 (sw),,Car Brands – R
22,4,122,86,2395,16,72,1,ford pinto (sw),,Car Brands – F
28,4,97,92,2288,17,72,3,datsun 510 (sw),,Koenigsegg
23,4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw),,Car Brands – A
28,4,98,80,2164,15,72,1,dodge colt (sw),,Alfa Romeo
27,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw),,Car Brands – N
13,8,350,175,4100,13,73,1,buick century 350,,Car Brands – K
14,8,304,150,3672,11.5,73,1,amc matador,,Car Brands – B
13,8,350,145,3988,13,73,1,chevrolet malibu,,Car Brands – A
14,8,302,137,4042,14.5,73,1,ford gran torino,,Car Brands – U
15,8,318,150,3777,12.5,73,1,dodge coronet custom,,Car Brands – Z
12,8,429,198,4952,11.5,73,1,mercury marquis brougham,,Car Brands – G
13,8,400,150,4464,12,73,1,chevrolet caprice classic,,Car Brands – L
13,8,351,158,4363,13,73,1,ford ltd,,Car Brands – V
14,8,318,150,4237,14.5,73,1,plymouth fury gran sedan,,Car Brands – L
13,8,440,215,4735,11,73,1,chrysler new yorker brougham,,Aston Martin
12,8,455,225,4951,11,73,1,buick electra 225 custom,,Mercedes-Benz
13,8,360,175,3821,11,73,1,amc ambassador brougham,,BMW
18,6,225,105,3121,16.5,73,1,plymouth valiant,,Car Brands – Z
16,6,250,100,3278,18,73,1,chevrolet nova custom,,Lotus
18,6,232,100,2945,16,73,1,amc hornet,,Car Brands – Z
18,6,250,88,3021,16.5,73,1,ford maverick,,BMW
23,6,198,95,2904,16,73,1,plymouth duster,,Car Brands – E
26,4,97,46,1950,21,73,2,volkswagen super beetle,,BMW
11,8,400,150,4997,14,73,1,chevrolet impala,,Aston Martin
12,8,400,167,4906,12.5,73,1,ford country,,McLaren
13,8,360,170,4654,13,73,1,plymouth custom suburb,,Bentley
12,8,350,180,4499,12.5,73,1,oldsmobile vista cruiser,,Maserati
18,6,232,100,2789,15,73,1,amc gremlin,,BMW
20,4,97,88,2279,19,73,3,toyota carina,,Car Brands – N
21,4,140,72,2401,19.5,73,1,chevrolet vega,,Car Brands – Z
22,4,108,94,2379,16.5,73,3,datsun 610,,Car Brands – T
18,3,70,90,2124,13.5,73,3,maxda rx3,,Car Brands – L
19,4,122,85,2310,18.5,73,1,ford pinto,,Car Brands – W
21,6,155,107,2472,14,73,1,mercury capri v6,,Bentley
26,4,98,90,2265,15.5,73,2,fiat 124 sport coupe,,Alfa Romeo
15,8,350,145,4082,13,73,1,chevrolet monte carlo s,,Jaguar
16,8,400,230,4278,9.5,73,1,pontiac grand prix,,Car Brands – Y
29,4,68,49,1867,19.5,73,2,fiat 128,,Car Brands – Y
24,4,116,75,2158,15.5,73,2,opel manta,,Car Brands – G
20,4,114,91,2582,14,73,2,audi 100ls,,Iconic Supercar & Sportscar Brands
19,4,121,112,2868,15.5,73,2,volvo 144ea,,Bugatti
15,8,318,150,3399,11,73,1,dodge dart custom,,Car Brands – W
24,4,121,110,2660,14,73,2,saab 99le,,Car Brands – D
20,6,156,122,2807,13.5,73,3,toyota mark ii,,Car Brands – I
11,8,350,180,3664,11,73,1,oldsmobile omega,,Lotus
20,6,198,95,3102,16.5,74,1,plymouth duster,,Lotus
19,6,232,100,2901,16,74,1,amc hornet,,Alfa Romeo
15,6,250,100,3336,17,74,1,chevrolet nova,,Koenigsegg
31,4,79,67,1950,19,74,3,datsun b210,,Car Brands – P
26,4,122,80,2451,16.5,74,1,ford pinto,,BMW
32,4,71,65,1836,21,74,3,toyota corolla 1200,,Alphabetical List of Car Brands
25,4,140,75,2542,17,74,1,chevrolet vega,,Car Brands – Z
16,6,250,100,3781,17,74,1,chevrolet chevelle malibu classic,,Car Brands – A
16,6,258,110,3632,18,74,1,amc matador,,Bugatti
18,6,225,105,3613,16.5,74,1,plymouth satellite sebring,,Car Brands – K
16,8,302,140,4141,14,74,1,ford gran torino,,Car Brands – U
13,8,350,150,4699,14.5,74,1,buick century luxus (sw),,Car Brands – E
14,8,318,150,4457,13.5,74,1,dodge coronet custom (sw),,Car Brands – A
14,8,302,140,4638,16,74,1,ford gran torino (sw),,Car Brands – M
14,8,304,150,4257,15.5,74,1,amc matador (sw),,Car Brands – K
29,4,98,83,2219,16.5,74,2,audi fox,,Koenigsegg
26,4,79,67,1963,15.5,74,2,volkswagen dasher,,Car Brands – E
26,4,97,78,2300,14.5,74,2,opel manta,,Koenigsegg
31,4,76,52,1649,16.5,74,3,toyota corona,,Car Brands – Y
32,4,83,61,2003,19,74,3,datsun 710,,Car Brands – Z
28,4,90,75,2125,14.5,74,1,dodge colt,,McLaren
24,4,90,75,2108,15.5,74,2,fiat 128,,Car Brands – L
26,4,116,75,2246,14,74,2,fiat 124 tc,,Car Brands – T
24,4,120,97,2489,15,74,3,honda civic,,Car Brands – N
26,4,108,93,2391,15.5,74,3,subaru,,Car Brands – K
31,4,79,67,2000,16,74,2,fiat x1.9,,Car Brands – T
19,6,225,95,3264,16,75,1,plymouth valiant custom,,Car Brands – J
18,6,250,105,3459,16,75,1,chevrolet nova,,Car Brands – K
15,6,250,72,3432,21,75,1,mercury monarch,,Car Brands – W
15,6,250,72,3158,19.5,75,1,ford maverick,,Car Brands – E
16,8,400,170,4668,11.5,75,1,pontiac catalina,,Alfa Romeo
15,8,350,145,4440,14,75,1,chevrolet bel air,,Car Brands – C
16,8,318,150,4498,14.5,75,1,plymouth grand fury,,Car Brands – Q
14,8,351,148,4657,13.5,75,1,ford ltd,,Alphabetical List of Car Brands
17,6,231,110,3907,21,75,1,buick century,,Koenigsegg
16,6,250,105,3897,18.5,75,1,chevroelt chevelle malibu,,Car Brands – O
15,6,258,110,3730,19,75,1,amc matador,,Alphabetical List of Car Brands
18,6,225,95,3785,19,75,1,plymouth fury,,Car Brands – I
21,6,231,110,3039,15,75,1,buick skyhawk,,Car Brands – E
20,8,262,110,3221,13.5,75,1,chevrolet monza 2+2,,Car Brands – I
13,8,302,129,3169,12,75,1,ford mustang ii,,Bentley
29,4,97,75,2171,16,75,3,toyota corolla,,Car Brands – A
23,4,140,83,2639,17,75,1,ford pinto,,Koenigsegg
20,6,232,100,2914,16,75,1,amc gremlin,,Jaguar
23,4,140,78,2592,18.5,75,1,pontiac astro,,Pagani
24,4,134,96,2702,13.5,75,3,toyota corona,,Car Brands – R
25,4,90,71,2223,16.5,75,2,volkswagen dasher,,Car Brands – Z
24,4,119,97,2545,17,75,3,datsun 710,,Porsche
18,6,171,97,2984,14.5,75,1,ford pinto,,Bugatti
29,4,90,70,1937,14,75,2,volkswagen rabbit,,Koenigsegg
19,6,232,90,3211,17,75,1,amc pacer,,Car Brands – V
23,4,115,95,2694,15,75,2,audi 100ls,,Car Brands – Y
23,4,120,88,2957,17,75,2,peugeot 504,,Car Brands – B
22,4,121,98,2945,14.5,75,2,volvo 244dl,,Car Brands – Z
25,4,121,115,2671,13.5,75,2,saab 99le,,Koenigsegg
33,4,91,53,1795,17.5,75,3,honda civic cvcc,,Car Brands – J
28,4,107,86,2464,15.5,76,2,fiat 131,,Car Brands – L
25,4,116,81,2220,16.9,76,2,opel 1900,,Pagani
25,4,140,92,2572,14.9,76,1,capri ii,,Car Brands – R
26,4,98,79,2255,17.7,76,1,dodge colt,,Ferrari
27,4,101,83,2202,15.3,76,2,renault 12tl,,Car Brands – D
17.5,8,305,140,4215,13,76,1,chevrolet chevelle malibu classic,,Alphabetical List of Car Brands
16,8,318,150,4190,13,76,1,dodge coronet brougham,,Alphabetical List of Car Brands
15.5,8,304,120,3962,13.9,76,1,amc matador,,Lamborghini
14.5,8,351,152,4215,12.8,76,1,ford gran torino,,Car Brands – Q
22,6,225,100,3233,15.4,76,1,plymouth valiant,,Alphabetical List of Car Brands
22,6,250,105,3353,14.5,76,1,chevrolet nova,,Car Brands – C
24,6,200,81,3012,17.6,76,1,ford maverick,,Car Brands – L
22.5,6,232,90,3085,17.6,76,1,amc hornet,,Car Brands – U
29,4,85,52,2035,22.2,76,1,chevrolet chevette,,Car Brands – F
24.5,4,98,60,2164,22.1,76,1,chevrolet woody,,BMW
29,4,90,70,1937,14.2,76,2,vw rabbit,,Car Brands – R
33,4,91,53,1795,17.4,76,3,honda civic,,Car Brands – Y
20,6,225,100,3651,17.7,76,1,dodge aspen se,,Alfa Romeo
18,6,250,78,3574,21,76,1,ford granada ghia,,Alfa Romeo
18.5,6,250,110,3645,16.2,76,1,pontiac ventura sj,,Car Brands – Z
17.5,6,258,95,3193,17.8,76,1,amc pacer d/l,,Car Brands – Q
29.5,4,97,71,1825,12.2,76,2,volkswagen rabbit,,Car Brands – D
32,4,85,70,1990,17,76,3,datsun b-210,,Car Brands – M
28,4,97,75,2155,16.4,76,3,toyota corolla,,Car Brands – Y
26.5,4,140,72,2565,13.6,76,1,ford pinto,,Car Brands – N
20,4,130,102,3150,15.7,76,2,volvo 245,,Alfa Romeo
13,8,318,150,3940,13.2,76,1,plymouth volare premier v8,,Mercedes-Benz
19,4,120,88,3270,21.9,76,2,peugeot 504,,Lamborghini
19,6,156,108,2930,15.5,76,3,toyota mark ii,,Car Brands – L
16.5,6,168,120,3820,16.7,76,2,mercedes-benz 280s,,Car Brands – K
16.5,8,350,180,4380,12.1,76,1,cadillac seville,,Pagani
13,8,350,145,4055,12,76,1,chevy c10,,Maserati
13,8,302,130,3870,15,76,1,ford f108,,Car Brands – Q
13,8,318,150,3755,14,76,1,dodge d100,,Car Brands – P
31.5,4,98,68,2045,18.5,77,3,honda accord cvcc,,Car Brands – T
30,4,111,80,2155,14.8,77,1,buick opel isuzu deluxe,,Car Brands – M
36,4,79,58,1825,18.6,77,2,renault 5 gtl,,Car Brands – T
25.5,4,122,96,2300,15.5,77,1,plymouth arrow gs,,Car Brands – F
33.5,4,85,70,1945,16.8,77,3,datsun f-10 hatchback,,Lotus
17.5,8,305,145,3880,12.5,77,1,chevrolet caprice classic,,Car Brands – O
17,8,260,110,4060,19,77,1,oldsmobile cutlass supreme,,Ferrari
15.5,8,318,145,4140,13.7,77,1,dodge monaco brougham,,Car Brands – R
15,8,302,130,4295,14.9,77,1,mercury cougar brougham,,Jaguar
17.5,6,250,110,3520,16.4,77,1,chevrolet concours,,Car Brands – S
20.5,6,231,105,3425,16.9,77,1,buick skylark,,Car Brands – C
19,6,225,100,3630,17.7,77,1,plymouth volare custom,,Car Brands – A
18.5,6,250,98,3525,19,77,1,ford granada,,Car Brands – Y
16,8,400,180,4220,11.1,77,1,pontiac grand prix lj,,Maserati
15.5,8,350,170,4165,11.4,77,1,chevrolet monte carlo landau,,Car Brands – G
15.5,8,400,190,4325,12.2,77,1,chrysler cordoba,,Car Brands – Y
16,8,351,149,4335,14.5,77,1,ford thunderbird,,Car Brands – Y
29,4,97,78,1940,14.5,77,2,volkswagen rabbit custom,,Bugatti
24.5,4,151,88,2740,16,77,1,pontiac sunbird coupe,,Car Brands – E
26,4,97,75,2265,18.2,77,3,toyota corolla liftback,,Lotus
25.5,4,140,89,2755,15.8,77,1,ford mustang ii 2+2,,Car Brands – D
30.5,4,98,63,2051,17,77,1,chevrolet chevette,,Car Brands – L
33.5,4,98,83,2075,15.9,77,1,dodge colt m/m,,Car Brands – T
30,4,97,67,1985,16.4,77,3,subaru dl,,Car Brands – S
30.5,4,97,78,2190,14.1,77,2,volkswagen dasher,,Car Brands – O
22,6,146,97,2815,14.5,77,3,datsun 810,,McLaren
21.5,4,121,110,2600,12.8,77,2,bmw 320i,,Car Brands – Y
21.5,3,80,110,2720,13.5,77,3,mazda rx-4,,Alphabetical List of Car Brands
43.1,4,90,48,1985,21.5,78,2,volkswagen rabbit custom diesel,,Bugatti
36.1,4,98,66,1800,14.4,78,1,ford fiesta,,Car Brands – Z
32.8,4,78,52,1985,19.4,78,3,mazda glc deluxe,,Koenigsegg
39.4,4,85,70,2070,18.6,78,3,datsun b210 gx,,McLaren
36.1,4,91,60,1800,16.4,78,3,honda civic cvcc,,Car Brands – E
19.9,8,260,110,3365,15.5,78,1,oldsmobile cutlass salon brougham,,Car Brands – L
19.4,8,318,140,3735,13.2,78,1,dodge diplomat,,Car Brands – G
20.2,8,302,139,3570,12.8,78,1,mercury monarch ghia,,Car Brands – O
19.2,6,231,105,3535,19.2,78,1,pontiac phoenix lj,,Car Brands – S
20.5,6,200,95,3155,18.2,78,1,chevrolet malibu,,Car Brands – O
20.2,6,200,85,2965,15.8,78,1,ford fairmont (auto),,Porsche
25.1,4,140,88,2720,15.4,78,1,ford fairmont (man),,Car Brands – Z
20.5,6,225,100,3430,17.2,78,1,plymouth volare,,Car Brands – A
19.4,6,232,90,3210,17.2,78,1,amc concord,,Car Brands – E
20.6,6,231,105,3380,15.8,78,1,buick century special,,Aston Martin
20.8,6,200,85,3070,16.7,78,1,mercury zephyr,,Maserati
18.6,6,225,110,3620,18.7,78,1,dodge aspen,,Car Brands – N
18.1,6,258,120,3410,15.1,78,1,amc concord d/l,,Pagani
19.2,8,305,145,3425,13.2,78,1,chevrolet monte carlo landau,,Lamborghini
17.7,6,231,165,3445,13.4,78,1,buick regal sport coupe (turbo),,Car Brands – A
18.1,8,302,139,3205,11.2,78,1,ford futura,,Car Brands – V
17.5,8,318,140,4080,13.7,78,1,dodge magnum xe,,Porsche
30,4,98,68,2155,16.5,78,1,chevrolet chevette,,Car Brands – I
27.5,4,134,95,2560,14.2,78,3,toyota corona,,Car Brands – N
27.2,4,119,97,2300,14.7,78,3,datsun 510,,Car Brands – M
30.9,4,105,75,2230,14.5,78,1,dodge omni,,Car Brands – J
21.1,4,134,95,2515,14.8,78,3,toyota celica gt liftback,,Iconic Supercar & Sportscar Brands
23.2,4,156,105,2745,16.7,78,1,plymouth sapporo,,BMW
23.8,4,151,85,2855,17.6,78,1,oldsmobile starfire sx,,Car Brands – Q
23.9,4,119,97,2405,14.9,78,3,datsun 200-sx,,Car Brands – J
20.3,5,131,103,2830,15.9,78,2,audi 5000,,Car Brands – Q
17,6,163,125,3140,13.6,78,2,volvo 264gl,,Car Brands – I
21.6,4,121,115,2795,15.7,78,2,saab 99gle,,Car Brands – H
16.2,6,163,133,3410,15.8,78,2,peugeot 604sl,,Alphabetical List of Car Brands
31.5,4,89,71,1990,14.9,78,2,volkswagen scirocco,,Car Brands – Q
29.5,4,98,68,2135,16.6,78,3,honda accord lx,,McLaren
21.5,6,231,115,3245,15.4,79,1,pontiac lemans v6,,Koenigsegg
19.8,6,200,85,2990,18.2,79,1,mercury zephyr 6,,Iconic Supercar & Sportscar Brands
22.3,4,140,88,2890,17.3,79,1,ford fairmont 4,,Pagani
20.2,6,232,90,3265,18.2,79,1,amc concord dl 6,,Maserati
20.6,6,225,110,3360,16.6,79,1,dodge aspen 6,,BMW
17,8,305,130,3840,15.4,79,1,chevrolet caprice classic,,BMW
17.6,8,302,129,3725,13.4,79,1,ford ltd landau,,Car Brands – T
16.5,8,351,138,3955,13.2,79,1,mercury grand marquis,,Lamborghini
18.2,8,318,135,3830,15.2,79,1,dodge st. regis,,Pagani
16.9,8,350,155,4360,14.9,79,1,buick estate wagon (sw),,Car Brands – S
15.5,8,351,142,4054,14.3,79,1,ford country squire (sw),,Car Brands – G
19.2,8,267,125,3605,15,79,1,chevrolet malibu classic (sw),,Car Brands – S
18.5,8,360,150,3940,13,79,1,chrysler lebaron town @ country (sw),,Car Brands – F
31.9,4,89,71,1925,14,79,2,vw rabbit custom,,Car Brands – F
34.1,4,86,65,1975,15.2,79,3,maxda glc deluxe,,Car Brands – H
35.7,4,98,80,1915,14.4,79,1,dodge colt hatchback custom,,Car Brands – E
27.4,4,121,80,2670,15,79,1,amc spirit dl,,Car Brands – J
25.4,5,183,77,3530,20.1,79,2,mercedes benz 300d,,Mercedes-Benz
23,8,350,125,3900,17.4,79,1,cadillac eldorado,,Pagani
27.2,4,141,71,3190,24.8,79,2,peugeot 504,,Jaguar
23.9,8,260,90,3420,22.2,79,1,oldsmobile cutlass salon brougham,,Porsche
34.2,4,105,70,2200,13.2,79,1,plymouth horizon,,Car Brands – I
34.5,4,105,70,2150,14.9,79,1,plymouth horizon tc3,,Koenigsegg
31.8,4,85,65,2020,19.2,79,3,datsun 210,,Porsche
37.3,4,91,69,2130,14.7,79,2,fiat strada custom,,Car Brands – T
28.4,4,151,90,2670,16,79,1,buick skylark limited,,Car Brands – A
28.8,6,173,115,2595,11.3,79,1,chevrolet citation,,Iconic Supercar & Sportscar Brands
26.8,6,173,115,2700,12.9,79,1,oldsmobile omega brougham,,Aston Martin
33.5,4,151,90,2556,13.2,79,1,pontiac phoenix,,McLaren
41.5,4,98,76,2144,14.7,80,2,vw rabbit,,BMW
38.1,4,89,60,1968,18.8,80,3,toyota corolla tercel,,Car Brands – S
32.1,4,98,70,2120,15.5,80,1,chevrolet chevette,,Iconic Supercar & Sportscar Brands
37.2,4,86,65,2019,16.4,80,3,datsun 310,,Car Brands – Y
28,4,151,90,2678,16.5,80,1,chevrolet citation,,Car Brands – O
26.4,4,140,88,2870,18.1,80,1,ford fairmont,,BMW
24.3,4,151,90,3003,20.1,80,1,amc concord,,Iconic Supercar & Sportscar Brands
19.1,6,225,90,3381,18.7,80,1,dodge aspen,,Bugatti
34.3,4,97,78,2188,15.8,80,2,audi 4000,,Car Brands – T
29.8,4,134,90,2711,15.5,80,3,toyota corona liftback,,Car Brands – B
31.3,4,120,75,2542,17.5,80,3,mazda 626,,Bentley
37,4,119,92,2434,15,80,3,datsun 510 hatchback,,Car Brands – H
32.2,4,108,75,2265,15.2,80,3,toyota corolla,,Maserati
46.6,4,86,65,2110,17.9,80,3,mazda glc,,Car Brands – S
27.9,4,156,105,2800,14.4,80,1,dodge colt,,Car Brands – O
40.8,4,85,65,2110,19.2,80,3,datsun 210,,Car Brands – P
44.3,4,90,48,2085,21.7,80,2,vw rabbit c (diesel),,Car Brands – U
43.4,4,90,48,2335,23.7,80,2,vw dasher (diesel),,Bentley
36.4,5,121,67,2950,19.9,80,2,audi 5000s (diesel),,Car Brands – P
30,4,146,67,3250,21.8,80,2,mercedes-benz 240d,,Car Brands – B
44.6,4,91,67,1850,13.8,80,3,honda civic 1500 gl,,Car Brands – A
33.8,4,97,67,2145,18,80,3,subaru dl,,Car Brands – E
29.8,4,89,62,1845,15.3,80,2,vokswagen rabbit,,Car Brands – O
32.7,6,168,132,2910,11.4,80,3,datsun 280-zx,,Car Brands – N
23.7,3,70,100,2420,12.5,80,3,mazda rx-7 gs,,McLaren
35,4,122,88,2500,15.1,80,2,triumph tr7 coupe,,Porsche
32.4,4,107,72,2290,17,80,3,honda accord,,Car Brands – F
27.2,4,135,84,2490,15.7,81,1,plymouth reliant,,Car Brands – W
26.6,4,151,84,2635,16.4,81,1,buick skylark,,Car Brands – D
25.8,4,156,92,2620,14.4,81,1,dodge aries wagon (sw),,Pagani
23.5,6,173,110,2725,12.6,81,1,chevrolet citation,,Car Brands – I
30,4,135,84,2385,12.9,81,1,plymouth reliant,,Alphabetical List of Car Brands
39.1,4,79,58,1755,16.9,81,3,toyota starlet,,Car Brands – G
39,4,86,64,1875,16.4,81,1,plymouth champ,,Maserati
35.1,4,81,60,1760,16.1,81,3,honda civic 1300,,Car Brands – R
32.3,4,97,67,2065,17.8,81,3,subaru,,Car Brands – W
37,4,85,65,1975,19.4,81,3,datsun 210 mpg,,Car Brands – F
37.7,4,89,62,2050,17.3,81,3,toyota tercel,,Porsche
34.1,4,91,68,1985,16,81,3,mazda glc 4,,Koenigsegg
34.7,4,105,63,2215,14.9,81,1,plymouth horizon 4,,Lotus
34.4,4,98,65,2045,16.2,81,1,ford escort 4w,,Car Brands – T
29.9,4,98,65,2380,20.7,81,1,ford escort 2h,,Car Brands – S
33,4,105,74,2190,14.2,81,2,volkswagen jetta,,Car Brands – F
33.7,4,107,75,2210,14.4,81,3,honda prelude,,Car Brands – E
32.4,4,108,75,2350,16.8,81,3,toyota corolla,,Lotus
32.9,4,119,100,2615,14.8,81,3,datsun 200sx,,Car Brands – V
31.6,4,120,74,2635,18.3,81,3,mazda 626,,Car Brands – K
28.1,4,141,80,3230,20.4,81,2,peugeot 505s turbo diesel,,Car Brands – G
30.7,6,145,76,3160,19.6,81,2,volvo diesel,,Car Brands – O
25.4,6,168,116,2900,12.6,81,3,toyota cressida,,Car Brands – B
24.2,6,146,120,2930,13.8,81,3,datsun 810 maxima,,Porsche
22.4,6,231,110,3415,15.8,81,1,buick century,,Jaguar
26.6,8,350,105,3725,19,81,1,oldsmobile cutlass ls,,Bugatti
20.2,6,200,88,3060,17.1,81,1,ford granada gl,,Car Brands – H
17.6,6,225,85,3465,16.6,81,1,chrysler lebaron salon,,Car Brands – Q
28,4,112,88,2605,19.6,82,1,chevrolet cavalier,,Car Brands – Y
27,4,112,88,2640,18.6,82,1,chevrolet cavalier wagon,,Car Brands – I
34,4,112,88,2395,18,82,1,chevrolet cavalier 2-door,,Bentley
31,4,112,85,2575,16.2,82,1,pontiac j2000 se hatchback,,Car Brands – N
29,4,135,84,2525,16,82,1,dodge aries se,,Car Brands – Z
27,4,151,90,2735,18,82,1,pontiac phoenix,,Car Brands – B
24,4,140,92,2865,16.4,82,1,ford fairmont futura,,McLaren
36,4,105,74,1980,15.3,82,2,volkswagen rabbit l,,Car Brands – U
37,4,91,68,2025,18.2,82,3,mazda glc custom l,,Car Brands – F
31,4,91,68,1970,17.6,82,3,mazda glc custom,,BMW
38,4,105,63,2125,14.7,82,1,plymouth horizon miser,,Bentley
36,4,98,70,2125,17.3,82,1,mercury lynx l,,Car Brands – Z
36,4,120,88,2160,14.5,82,3,nissan stanza xe,,McLaren
36,4,107,75,2205,14.5,82,3,honda accord,,Lotus
34,4,108,70,2245,16.9,82,3,toyota corolla,,Koenigsegg
38,4,91,67,1965,15,82,3,honda civic,,Maserati
32,4,91,67,1965,15.7,82,3,honda civic (auto),,Car Brands – E
38,4,91,67,1995,16.2,82,3,datsun 310 gx,,Car Brands – U
25,6,181,110,2945,16.4,82,1,buick century limited,,Koenigsegg
